@relation emotion_test

@attribute emotionclass {happy,sad,fear}
@attribute text String


@data
happy,'I won the first prize at the science fair, the first of the kind at school and I was only in form II then.'
happy,'I had a very pleasant conversation with one of my friends.'
happy,'A fellow player, quite unexpectedly, scores a goal, which means a draw.'
happy,'When I fell in love.'
happy,'When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.'
happy,'Reading a nice book and talking about it to my friend.'
happy,'Being asked to go out by someone I care.' 
happy,'When my boyfriend once again told me that he loved me after a period in which he felt very depressive.'
happy,'During my Summer vacations I planned a carnival for the community youth center with a few other volunteers.  I was the head of the organizors and we spent over a month planning it.  During this period we got to know and understood each other.  We discovered each others potential and we planned many interesting things for the carnival.  The day of the carnival everything was bright, the programmes went well and the attendants enjoyed it.  I felt extremely excited about it.'
happy,'I met my present boyfriend on a boat trip to England.  We had said that we would call each other when we got back to Sweden (we were not going to the same town in England).  As soon as I walked in he called from England as he could not wait till he came home.'
happy,'Getting into this university to do medicine.'
happy,'When I got a good grade for an exam in statistics.'
happy,'When I attended the concert of a pop singer.'
happy,'When my love for a guy was returned.'
happy,'When I passed and qualified for the university.'
happy,'Doing well in the examn.'
happy,'Last Summer I achieved someting that I had been wanting for a long time.'
happy,'This week I was phoned by an old friend with whom I lost contact a few years ago.'
happy,'When I called my boyfriend he asked me if I would live with him.'
happy,'Being chosen to do this experiment.'
happy,'I thought that someone was angry with me but, by hindsight, that didnt appear to be the case, he even liked me.'
happy,'I preached to a F.3 students in a gospel camp.  They thus knew more about God and made up their minds to believe in Jesus.'
happy,'A meeting and a conversation with a woman (somewhat elder than me) who considers me as her child (she also has one child of her own). Last two years I lived with her (no relationship).'
happy,'When I was selected for higher education, i.e grade 7 to formI.'
happy,'When I passed the driving test already on the first try, although I felt more and more uncertain as the day came near.'
happy,'I went on a picnic to the country side park.  The beautiful scenary made me feel relaxed and every worry disappeared , thus the picnic was worthwhile.'
happy,'When I won the best prize in the National science fair.'
happy,'After having considered it for hours I was able to overcome my scruples and to call a friend with whom I had fallen in love. I realized that my decision was right - and was very glad.'
happy,'I was called and invited to have a talk about a job I wanted to have.'
happy,'When a friend of me came for an unexpected visit.'
happy,'When I learnt that I had been accepted at the medical school.'
happy,'I feel unbelievably happy about the relationship between my boyfriend and me, it is a reoccurring feeling.'
happy,'After I saw my family and good friends back after staying one year in a foreign country.'
